FileName,latitude,longitude
20190323_184628_SW.JPG,33.5414611,-116.2174222
20190323_185009_SW.JPG,33.5414611,-116.2174139
20190322_160434 GOPR1272.JPG,33.541425,-116.2162389
20190322_160454_GH011273.mp4,33.5414,-116.2162
20190322_161925_SW.MOV,33.5414,-116.2163
20190322_161938_SW.MOV,33.5414,-116.2164
20190322_161925_SW.JPG,33.5413806,-116.2163167
20190323_184035_IMG_JW.jpg,33.5413528,-116.2173556
20190322_161938_SW.JPG,33.54135,-116.2163611
20190323_183932_MVIMG_JW.jpg,33.54135,-116.217425
20190323_183959_MVIMG_JW.jpg,33.5413472,-116.2176944
20190322_161158 GOPR1276.JPG,33.5413417,-116.2162333
20190322_161258 GOPR1277.JPG,33.5413417,-116.2162278
20190322_161643 G0021281.JPG,33.5413306,-116.2162278
20190322_161643_SW.JPG,33.5413306,-116.2162278
20190322_161702 G0031288.JPG,33.5413306,-116.2162306
20190322_161636 GOPR1280.JPG,33.5413278,-116.2162278
20190322_161600 GOPR1278.JPG,33.541325,-116.2162333
20190322_161608 GOPR1279.JPG,33.5413222,-116.2162333
20190322_160938 GOPR1274.JPG,33.5413083,-116.2162361
20190322_161056_GH011275.mp4,33.5413,-116.2162
20190322_163402_GH011299.mp4,33.5411,-116.216
20190322_163246 GOPR1297.JPG,33.5410639,-116.2159694
20190322_163249 GOPR1298.JPG,33.5410611,-116.2159694
20190322_163249_SW.JPG,33.5410611,-116.2159694
20190322_163224 GOPR1296.JPG,33.5410556,-116.2159639
20190322_163224_SW.JPG,33.5410556,-116.2159639
20190322_163456 GOPR1301.JPG,33.5410417,-116.2159306
20190322_163429_GH011300.mp4,33.541,-116.216
20190322_163536_GH011302.mp4,33.541,-116.2159
20190322_164304_IMG_JW.jpg,33.54095,-116.2160278
20190322_164304_SW.jpg,33.54095,-116.2160278
20190322_164315_IMG_JW.jpg,33.54095,-116.2160278
20190322_164324_IMG_JW.jpg,33.5409139,-116.21605
20190322_164326_IMG_JW.jpg,33.5409139,-116.21605
20190322_163612 GOPR1303.JPG,33.5409028,-116.2160333
20190322_163637 GOPR1304.JPG,33.5408694,-116.2160611
20190322_164146_IMG_JW.jpg,33.5408333,-116.2161583
20190322_163652 GOPR1305.JPG,33.5408222,-116.2161083
20190322_164633_SW.JPG,33.5408083,-116.2162333
20190322_163714_GH011306.mp4,33.5408,-116.2161
20190322_164633_SW.MOV,33.5408,-116.2162
20190323_204432_IMG_JW.jpg,33.5407583,-116.2180083
20190323_193306_MVIMG_JW.jpg,33.5405611,-116.2182556
20190322_164142_IMG_JW.jpg,33.5397917,-116.2181361
20190323_134019_1_SW.JPG,33.0540806,-116.7405472
20190323_134019_SW.JPG,33.0540806,-116.7405472
