FileName,GPSAltitude,GPSAltitudeRef,GPSCoordinates,GPSDateStamp,GPSDateTime,GPSDestBearing,GPSDestBearingRef,GPSDOP,GPSHPositioningError,GPSImgDirection,GPSImgDirectionRef,GPSLatitude,GPSLatitudeRef,GPSLongitude,GPSLongitudeRef,GPSPosition,GPS_Lat_Deg,GPS_Lat_Min,GPS_Lat_Sec,latitude,GPS_Lon_Deg,GPS_Lon_Min,GPS_Lon_Sec,longitude
20190321_160711_IMG_JW.jpg,0 m Above Sea Level,Below Sea Level,,2019:03:21,2019:03:21 23:07:07Z,,,1000,,,,"37 deg 22' 25.48"" N",North,"121 deg 56' 4.88"" W",West,"37 deg 22' 25.48"" N, 121 deg 56' 4.88"" W",37,22,25.48,37.37374444,121,56,4.88,-120.0653111
20190321_165504_SW.JPG,,,,2019:03:21,2019:03:21 23:55:03Z,55.64762116,True North,,5.576979332 m,55.64762116,True North,"37 deg 21' 56.73"" N",North,"121 deg 55' 31.58"" W",West,"37 deg 21' 56.73"" N, 121 deg 55' 31.58"" W",37,21,56.73,37.36575833,121,55,31.58,-120.0745611
20190321_165504_SW.MOV,,,"37 deg 21' 56.88"" N, 121 deg 55' 31.44"" W",,,,,,,,,"37 deg 21' 56.88"" N",,"121 deg 55' 31.44"" W",,"37 deg 21' 56.88"" N, 121 deg 55' 31.44"" W",37,21,56.88,37.3658,121,55,31.44,-120.0746
20190321_171815_SW.JPG,,,,2019:03:22,2019:03:22 00:18:14Z,236.9608917,True North,,5.463164905 m,236.9608917,True North,"37 deg 21' 56.53"" N",North,"121 deg 55' 31.36"" W",West,"37 deg 21' 56.53"" N, 121 deg 55' 31.36"" W",37,21,56.53,37.36570278,121,55,31.36,-120.0746222
20190321_171815_SW.MOV,,,"37 deg 21' 56.52"" N, 121 deg 55' 31.44"" W",,,,,,,,,"37 deg 21' 56.52"" N",,"121 deg 55' 31.44"" W",,"37 deg 21' 56.52"" N, 121 deg 55' 31.44"" W",37,21,56.52,37.3657,121,55,31.44,-120.0746
20190321_183833_IMG_JW.jpg,0 m Above Sea Level,Below Sea Level,,2019:03:22,2019:03:22 01:11:27Z,,,899.999,,,,"37 deg 21' 46.64"" N",North,"121 deg 55' 21.35"" W",West,"37 deg 21' 46.64"" N, 121 deg 55' 21.35"" W",37,21,46.64,37.36295556,121,55,21.35,-120.0774028
20190321_212948_SW.jpeg,205.8 m Above Sea Level,Above Sea Level,,,,235.9575805,True North,,65 m,235.9575805,True North,"33 deg 36' 10.51"" N",North,"117 deg 49' 37.79"" W",West,"33 deg 36' 10.51"" N, 117 deg 49' 37.79"" W",33,36,10.51,33.60291944,117,49,37.79,-116.1728361
20190321_212948_SW.MOV,205.834 m,Above Sea Level,"33 deg 36' 10.44"" N, 117 deg 49' 37.92"" W, 205.834 m Above Sea Level",,,,,,,,,"33 deg 36' 10.44"" N",,"117 deg 49' 37.92"" W",,"33 deg 36' 10.44"" N, 117 deg 49' 37.92"" W",33,36,10.44,33.6029,117,49,37.92,-116.1728
20190322_093952_SW.JPG,206.1 m Above Sea Level,Above Sea Level,,2019:03:22,2019:03:22 16:39:49Z,261.2864992,True North,,65 m,261.2864992,True North,"33 deg 36' 10.60"" N",North,"117 deg 49' 37.84"" W",West,"33 deg 36' 10.60"" N, 117 deg 49' 37.84"" W",33,36,10.6,33.60294444,117,49,37.84,-116.1728222
20190322_093952_SW.MOV,206.141 m,Above Sea Level,"33 deg 36' 10.44"" N, 117 deg 49' 37.92"" W, 206.141 m Above Sea Level",,,,,,,,,"33 deg 36' 10.44"" N",,"117 deg 49' 37.92"" W",,"33 deg 36' 10.44"" N, 117 deg 49' 37.92"" W",33,36,10.44,33.6029,117,49,37.92,-116.1728
20190322_100158_GH011243.mp4,,,"33 deg 34' 27.12"" N, 117 deg 50' 25.44"" W",,,,,,,,,"33 deg 34' 27.12"" N",,"117 deg 50' 25.44"" W",,"33 deg 34' 27.12"" N, 117 deg 50' 25.44"" W",33,34,27.12,33.5742,117,50,25.44,-116.1596
20190322_100306_GH011244.mp4,,,"33 deg 34' 27.12"" N, 117 deg 50' 25.44"" W",,,,,,,,,"33 deg 34' 27.12"" N",,"117 deg 50' 25.44"" W",,"33 deg 34' 27.12"" N, 117 deg 50' 25.44"" W",33,34,27.12,33.5742,117,50,25.44,-116.1596
